NU_ANO_CENSO;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;43141617;Recursos naturais;12;Agropecuária;12174;1;340;1;304;0;0;0;0;1;36;0;0;0;0
2025;43142753;Ambiente e saúde;1;Enfermagem;1006;1;9;0;0;0;0;1;9;0;0;0;0;0;0
2025;43143946;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;71;0;0;1;71;0;0;0;0;0;0;0;0
2025;43144144;Gestão e negócios;4;Comércio;4051;1;7;0;0;0;0;0;0;1;7;0;0;0;0
2025;43144888;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;18;0;0;1;18;0;0;0;0;0;0;0;0
2025;43145337;Gestão e negócios;4;Administração;4050;1;195;1;195;0;0;0;0;0;0;0;0;0;0
2025;43145337;Informação e comunicação;6;Manutenção e Suporte em Informática;6075;1;188;1;188;0;0;0;0;0;0;0;0;0;0
2025;43145337;Produção alimentícia;9;Alimentos;9120;1;178;1;91;0;0;0;0;1;87;0;0;0;0
2025;43145337;Recursos naturais;12;Agricultura;12171;1;33;0;0;0;0;0;0;1;33;0;0;0;0
2025;43145337;Recursos naturais;12;Agropecuária;12174;1;403;1;373;0;0;0;0;0;0;1;30;0;0
2025;43145337;Recursos naturais;12;Zootecnia;12185;1;27;0;0;0;0;0;0;1;27;0;0;0;0
2025;43145655;Gestão e negócios;4;Contabilidade;4053;1;7;0;0;0;0;0;0;1;7;0;0;0;0
2025;43145710;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;156;0;0;1;156;0;0;0;0;0;0;0;0
2025;43146066;Gestão e negócios;4;Administração;4050;1;360;1;310;0;0;0;0;1;50;0;0;0;0
2025;43146066;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;178;0;0;1;178;0;0;0;0;0;0;0;0
2025;43146368;Ambiente e saúde;1;Saúde Bucal;1012;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2025;43147267;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;31;0;0;1;31;0;0;0;0;0;0;0;0
2025;43148719;Gestão e negócios;4;Administração;4050;1;13;0;0;0;0;0;0;0;0;0;0;1;13
2025;43148719;Gestão e negócios;4;Comércio;4051;1;3;0;0;0;0;0;0;0;0;0;0;1;3
2025;43148719;Informação e comunicação;6;Manutenção e Suporte em Informática;6075;1;125;1;125;0;0;0;0;0;0;0;0;0;0
2025;43148719;Recursos naturais;12;Agropecuária;12174;1;465;1;337;0;0;0;0;1;30;1;98;0;0
2025;43150047;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;107;0;0;1;107;0;0;0;0;0;0;0;0
2025;43150608;Gestão e negócios;4;Contabilidade;4053;1;30;0;0;0;0;0;0;1;30;0;0;0;0
2025;43150608;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;104;0;0;1;104;0;0;0;0;0;0;0;0
2025;43151728;Gestão e negócios;4;Contabilidade;4053;1;23;0;0;0;0;0;0;1;23;0;0;0;0
2025;43151728;Informação e comunicação;6;Informática;6073;1;9;0;0;0;0;0;0;1;9;0;0;0;0
2025;43151728;Recursos naturais;12;Agronegócio;12173;1;20;0;0;0;0;0;0;1;20;0;0;0;0
2025;43151728;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;27;0;0;1;27;0;0;0;0;0;0;0;0
2025;43152198;Gestão e negócios;4;Administração;4050;1;33;0;0;0;0;0;0;1;33;0;0;0;0
2025;43152198;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;30;0;0;1;30;0;0;0;0;0;0;0;0
2025;43152325;Ambiente e saúde;1;Meio Ambiente;1016;1;148;1;148;0;0;0;0;0;0;0;0;0;0
2025;43152325;Controle e processos industriais;3;Eletrônica;3039;1;149;1;87;0;0;0;0;1;62;0;0;0;0
2025;43152325;Controle e processos industriais;3;Eletrotécnica;3040;1;381;1;110;0;0;0;0;1;271;0;0;0;0
2025;43152325;Controle e processos industriais;3;Mecânica;3043;1;89;1;89;0;0;0;0;0;0;0;0;0;0
2025;43152325;Informação e comunicação;6;Informática;6073;1;268;1;168;0;0;0;0;1;100;0;0;0;0
2025;43152325;Informação e comunicação;6;Outros - Eixo Informação e Comunicação;6999;1;9;0;0;0;0;0;0;1;9;0;0;0;0
2025;43152325;Produção cultural e design;10;Design Gráfico;10134;1;31;0;0;0;0;1;4;1;27;0;0;0;0
2025;43152325;Produção cultural e design;10;Design de Móveis;10141;1;132;1;94;0;0;0;0;1;38;0;0;0;0
2025;43152325;Produção industrial;11;Móveis;11165;1;112;1;81;0;0;0;0;1;31;0;0;0;0
2025;43152325;Produção industrial;11;Química;11175;1;132;1;132;0;0;0;0;0;0;0;0;0;0
2025;43152740;Gestão e negócios;4;Recursos Humanos;4059;1;75;1;75;0;0;0;0;0;0;0;0;0;0
2025;43153208;Ambiente e saúde;1;Meio Ambiente;1016;1;11;0;0;0;0;0;0;1;11;0;0;0;0
2025;43153208;Gestão e negócios;4;Administração;4050;1;97;1;75;0;0;1;15;1;7;0;0;0;0
2025;43153208;Produção industrial;11;Química;11175;1;41;0;0;0;0;0;0;1;41;0;0;0;0
2025;43153208;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;77;0;0;1;77;0;0;0;0;0;0;0;0
2025;43153607;Gestão e negócios;4;Recursos Humanos;4059;1;27;0;0;0;0;0;0;1;27;0;0;0;0
2025;43153607;Infraestrutura;7;Edificações;7085;1;20;0;0;0;0;0;0;1;20;0;0;0;0
2025;43154786;Gestão e negócios;4;Administração;4050;1;10;0;0;0;0;1;1;1;9;0;0;0;0
2025;43154786;Informação e comunicação;6;Informática;6073;1;153;1;146;0;0;1;1;1;6;0;0;0;0
2025;43154794;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;38;0;0;1;38;0;0;0;0;0;0;0;0
2025;43155197;Controle e processos industriais;3;Eletromecânica;3038;1;50;0;0;0;0;1;2;1;48;0;0;0;0
2025;43155197;Controle e processos industriais;3;Eletrotécnica;3040;1;26;0;0;0;0;1;1;1;25;0;0;0;0
2025;43155197;Gestão e negócios;4;Administração;4050;1;77;0;0;0;0;1;18;1;59;0;0;0;0
2025;43155197;Recursos naturais;12;Agropecuária;12174;1;84;0;0;0;0;1;12;1;72;0;0;0;0
2025;43156371;Infraestrutura;7;Edificações;7085;1;23;0;0;0;0;0;0;1;23;0;0;0;0
2025;43156371;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;137;0;0;1;137;0;0;0;0;0;0;0;0
2025;43156576;Gestão e negócios;4;Contabilidade;4053;1;31;0;0;0;0;0;0;1;31;0;0;0;0
2025;43156576;Gestão e negócios;4;Transações Imobiliárias;4064;1;12;0;0;0;0;0;0;1;12;0;0;0;0
2025;43156576;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;181;0;0;1;181;0;0;0;0;0;0;0;0
2025;43156851;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;51;0;0;1;51;0;0;0;0;0;0;0;0
2025;43157726;Ambiente e saúde;1;Enfermagem;1006;1;11;0;0;0;0;0;0;1;11;0;0;0;0
2025;43157726;Informação e comunicação;6;Informática;6073;1;50;0;0;0;0;0;0;1;50;0;0;0;0
2025;43157726;Produção cultural e design;10;Outros - Eixo Produção Cultural e Design;10999;1;6;0;0;0;0;0;0;1;6;0;0;0;0
2025;43157726;Recursos naturais;12;Agropecuária;12174;1;35;0;0;0;0;0;0;1;35;0;0;0;0
2025;43157734;Gestão e negócios;4;Administração;4050;1;17;0;0;0;0;0;0;1;17;0;0;0;0
2025;43157734;Gestão e negócios;4;Marketing;4057;1;6;0;0;0;0;1;2;1;4;0;0;0;0
2025;43157734;Informação e comunicação;6;Informática;6073;1;14;0;0;0;0;1;13;1;1;0;0;0;0
2025;43157734;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;47;0;0;1;47;0;0;0;0;0;0;0;0
2025;43159028;Controle e processos industriais;3;Eletromecânica;3038;1;19;0;0;0;0;0;0;1;19;0;0;0;0
